"LINEAGE","VOC_VUI","n_participants"
"XBB.1.5","Omicron (BA.2-like)",96
"XBB.1","Omicron (BA.2-like)",30
"BA.2.1","Omicron",18
"CH.1.1.1","Omicron (BA.2-like)",18
"BA.2","Omicron",15
"BQ.1.1","Omicron (BA.5-like)",11
"CH.1.1","Omicron (BA.2-like)",10
"BA.2.10","Omicron",7
"BQ.1.1.2","Omicron (BA.5-like)",5
"BA.2.73","Omicron",4
"CH.1.1.2","Omicron (BA.2-like)",4
"BN.1.7","Omicron (BA.2-like)",2
"BQ.1.18","Omicron (BA.5-like)",2
"BQ.1.8.2","Omicron (BA.5-like)",2
"XBB.1.4","Omicron (BA.2-like)",2
"XBF","Omicron (BA.2-like)",2
NA,NA,2
"BA.2.37","Omicron",1
"BM.1.1.1","Omicron (BA.2-like)",1
"BQ.1","Omicron (BA.5-like)",1
"BQ.1.1.24","Omicron (BA.5-like)",1
"BQ.1.1.5","Omicron (BA.5-like)",1
"XBB.2","Omicron (BA.2-like)",1
"XBC.1","Omicron",1
