"tree_type","pair_type","excluded_status","pairwise_distance"
"within-host","different_household",NA,0.001319
"within-host","different_household",NA,0.001541
"within-host","different_household",NA,0.0011
"within-host","different_household",NA,0.001836
"within-host","different_household",NA,0.002501
"within-host","different_household",NA,0.0022
"within-host","different_household",NA,0.002197
"within-host","different_household",NA,0.00233
"within-host","different_household",NA,0.002352
"within-host","different_household",NA,0.002171
"within-host","different_household",NA,0.002543
"within-host","different_household",NA,0.002234
"within-host","different_household",NA,0.002047
"within-host","different_household",NA,0.001993
"within-host","different_household",NA,0.002258
"within-host","different_household",NA,0.002232
"within-host","different_household",NA,0.002663
"within-host","different_household",NA,0.002807
"within-host","different_household",NA,0.002473
"within-host","different_household",NA,0.003447
"within-host","different_household",NA,0.002617
"within-host","different_household",NA,0.002171
"within-host","different_household",NA,0.002465
"within-host","different_household",NA,0.002278
"within-host","different_household",NA,0.001961
"within-host","different_household",NA,0.002146
"within-host","different_household",NA,0.001969
"within-host","different_household",NA,0.001757
"within-host","different_household",NA,0.001936
"within-host","different_household",NA,0.001586
"within-host","different_household",NA,0.001769
"within-host","different_household",NA,0.001769
"within-host","different_household",NA,0.001806
"within-host","different_household",NA,0.001384
"within-host","different_household",NA,0.001514
"within-host","different_household",NA,0.001275
"within-host","different_household",NA,0.001228
"within-host","different_household",NA,0.001669
"within-host","different_household",NA,0.001728
"within-host","different_household",NA,0.001456
"within-host","different_household",NA,0.001317
"within-host","different_household",NA,0.002032
"within-host","different_household",NA,0.001839
"within-host","different_household",NA,0.001903
"within-host","different_household",NA,0.002209
"within-host","different_household",NA,0.002335
"within-host","different_household",NA,0.002699
"within-host","different_household",NA,0.002341
"within-host","different_household",NA,0.002569
"within-host","different_household",NA,0.005464
"within-host","different_household",NA,0.010253
"within-host","different_household",NA,0.005505
"within-host","different_household",NA,0.00558
"within-host","different_household",NA,0.005101
"within-host","different_household",NA,0.005763
"within-host","different_household",NA,0.005596
"within-host","different_household",NA,0.00547
"within-host","different_household",NA,0.005817
"within-host","different_household",NA,0.005887
"within-host","different_household",NA,0.005849
"within-host","different_household",NA,0.005794
"within-host","different_household",NA,0.005334
"within-host","different_household",NA,0.005383
"within-host","different_household",NA,0.00711
"within-host","different_household",NA,0.0059
"within-host","different_household",NA,0.005345
"within-host","different_household",NA,0.005536
"within-host","different_household",NA,0.005807
"within-host","different_household",NA,0.005662
"within-host","different_household",NA,0.005414
"within-host","different_household",NA,0.005755
"within-host","different_household",NA,0.006004
"within-host","different_household",NA,0.005306
"within-host","different_household",NA,0.005355
"within-host","different_household",NA,0.004771
"within-host","different_household",NA,0.004722
"within-host","different_household",NA,0.004253
"within-host","different_household",NA,0.004276
"within-host","different_household",NA,0.005291
"within-host","different_household",NA,0.005027
"within-host","different_household",NA,0.005127
"within-host","different_household",NA,0.004724
"within-host","different_household",NA,0.007504
"within-host","different_household",NA,0.004971
"within-host","different_household",NA,0.004713
"within-host","different_household",NA,0.004781
"within-host","different_household",NA,0.005728
"within-host","different_household",NA,0.004972
"within-host","different_household",NA,0.004848
"within-host","different_household",NA,0.005177
"within-host","different_household",NA,0.004731
"within-host","different_household",NA,0.006086
"within-host","different_household",NA,0.004507
"within-host","different_household",NA,0.004853
"within-host","different_household",NA,0.004739
"within-host","different_household",NA,0.00549
"within-host","different_household",NA,0.004917
"within-host","different_household",NA,0.004961
"within-host","different_household",NA,0.004637
"within-host","different_household",NA,0.005154
"within-host","different_household",NA,0.004884
"within-host","different_household",NA,0.004716
"within-host","different_household",NA,0.004893
"within-host","different_household",NA,0.004758
"within-host","different_household",NA,0.004673
"within-host","different_household",NA,0.007208
"within-host","different_household",NA,0.004718
"within-host","different_household",NA,0.004947
"within-host","different_household",NA,0.0044
"within-host","different_household",NA,0.005239
"within-host","different_household",NA,0.004346
"within-host","different_household",NA,0.004533
"within-host","different_household",NA,0.004853
"within-host","different_household",NA,0.004649
"within-host","different_household",NA,0.003496
"within-host","different_household",NA,0.002166
"within-host","different_household",NA,0.002633
"within-host","different_household",NA,0.001826
"within-host","different_household",NA,0.001318
"within-host","different_household",NA,0.001826
"within-host","different_household",NA,0.001943
"within-host","different_household",NA,0.00161
"within-host","different_household",NA,0.002116
"within-host","different_household",NA,0.001774
"within-host","different_household",NA,0.002054
"within-host","different_household",NA,0.001741
"within-host","different_household",NA,0.001694
